identifier,var,group,term_nr,term,statistic,value,type,method,confirmatory,notes
price_descriptives,price,,,,missing,0,descriptives,,,
price_descriptives,price,,,,n,1020,descriptives,,,
price_descriptives,price,,,,M,150.6196,descriptives,,,
price_descriptives,price,,,,SD,104.1005,descriptives,,,
price_descriptives,price,,,,SE,3.259512,descriptives,,,
price_descriptives,price,,,,min,25,descriptives,,,
price_descriptives,price,,,,max,1500,descriptives,,,
price_descriptives,price,,,,range,1475,descriptives,,,
price_descriptives,price,,,,median,128.5,descriptives,,,
price_descriptives,price,,,,mode,100,descriptives,,,
price_descriptives,price,,,,skew,4.322081,descriptives,,,
price_descriptives,price,,,,kurtosis,40.12746,descriptives,,,
price_descriptives,price_log,,,,missing,0,descriptives,,,
price_descriptives,price_log,,,,n,1020,descriptives,,,
price_descriptives,price_log,,,,M,2.109416,descriptives,,,
price_descriptives,price_log,,,,SD,0.235909,descriptives,,,
price_descriptives,price_log,,,,SE,0.007386597,descriptives,,,
price_descriptives,price_log,,,,min,1.39794,descriptives,,,
price_descriptives,price_log,,,,max,3.176091,descriptives,,,
price_descriptives,price_log,,,,range,1.778151,descriptives,,,
price_descriptives,price_log,,,,median,2.1089,descriptives,,,
price_descriptives,price_log,,,,mode,2,descriptives,,,
price_descriptives,price_log,,,,skew,0.282032,descriptives,,,
price_descriptives,price_log,,,,kurtosis,3.547475,descriptives,,,
rating_descriptives,attractiveness_mean,,,,missing,0,descriptives,,,
rating_descriptives,attractiveness_mean,,,,n,1020,descriptives,,,
rating_descriptives,attractiveness_mean,,,,M,5.416259,descriptives,,,
rating_descriptives,attractiveness_mean,,,,SD,1.165859,descriptives,,,
rating_descriptives,attractiveness_mean,,,,SE,0.03650447,descriptives,,,
rating_descriptives,attractiveness_mean,,,,min,1.92,descriptives,,,
rating_descriptives,attractiveness_mean,,,,max,8.36,descriptives,,,
rating_descriptives,attractiveness_mean,,,,range,6.44,descriptives,,,
rating_descriptives,attractiveness_mean,,,,median,5.4,descriptives,,,
rating_descriptives,attractiveness_mean,,,,mode,6,descriptives,,,
